time,Force,Displacement
        13.4000,  -4.887291,    0.306,
        13.4500,  -4.883134,    0.308,
        13.5000,  -4.879010,    0.308,
        13.5500,  -4.874847,    0.310,
        13.6000,  -4.870664,    0.311,
        13.6500,  -4.866518,    0.312,
        13.7000,  -4.862382,    0.313,
        13.7500,  -4.858215,    0.314,
        13.8000,  -4.853946,    0.315,
        13.8500,  -4.849743,    0.316,
        13.9000,  -4.845570,    0.317,
        13.9500,  -4.841447,    0.319,
        14.0000,  -4.837272,    0.320,
        14.0500,  -4.833102,    0.322,
        14.1000,  -4.828981,    0.323,
        14.1500,  -4.824795,    0.325,
        14.2000,  -4.820669,    0.326,
        14.2500,  -4.816509,    0.327,
        14.3000,  -4.812361,    0.328,
        14.3500,  -4.808190,    0.329,
        14.4000,  -4.803899,    0.331,
        14.4500,  -4.799705,    0.332,
        14.5000,  -4.795556,    0.333,
        14.5500,  -4.791419,    0.335,
        14.6000,  -4.787252,    0.337,
        14.6500,  -4.783111,    0.337,
        14.7000,  -4.778927,    0.339,
        14.7500,  -4.774806,    0.340,
        14.8000,  -4.770648,    0.341,
        14.8500,  -4.766468,    0.343,
        14.9000,  -4.762374,    0.345,
        14.9500,  -4.758166,    0.346,
        15.0000,  -4.753847,    0.348,
        15.0500,  -4.749677,    0.350,
        15.1000,  -4.745520,    0.350,
        15.1500,  -4.741393,    0.352,
        15.2000,  -4.737206,    0.354,
        15.2500,  -4.733068,    0.354,
        15.3000,  -4.728947,    0.356,
        15.3500,  -4.724779,    0.358,
        15.4000,  -4.720620,    0.360,
        15.4500,  -4.716440,    0.361,
        15.5000,  -4.712328,    0.362,
        15.5500,  -4.708031,    0.364,
        15.6000,  -4.703809,    0.365,
        15.6500,  -4.699695,    0.367,
        15.7000,  -4.695514,    0.369,
        15.7500,  -4.691354,    0.370,
        15.8000,  -4.687207,    0.372,
        15.8500,  -4.683069,    0.373,
        15.9000,  -4.678902,    0.375,
        15.9500,  -4.674719,    0.376,
        16.0000,  -4.670599,    0.377,
        16.0500,  -4.666460,    0.379,
        16.1000,  -4.662293,    0.381,
        16.1500,  -4.657952,    0.383,
        16.2000,  -4.653793,    0.384,
        16.2500,  -4.649676,    0.386,
        16.3000,  -4.645469,    0.388,
        16.3500,  -4.641345,    0.389,
        16.4000,  -4.637188,    0.390,
        16.4500,  -4.633072,    0.392,
        16.5000,  -4.628873,    0.394,
        16.5500,  -4.624706,    0.396,
        16.6000,  -4.620601,    0.398,
        16.6500,  -4.616399,    0.399,
        16.7000,  -4.612177,    0.400,
        16.7500,  -4.607913,    0.402,
        16.8000,  -4.603787,    0.404,
        16.8500,  -4.599643,    0.405,
        16.9000,  -4.595476,    0.407,
        16.9500,  -4.591327,    0.409,
        17.0000,  -4.587178,    0.411,
        17.0500,  -4.583021,    0.412,
        17.1000,  -4.578873,    0.413,
        17.1500,  -4.574727,    0.415,
        17.2000,  -4.570629,    0.417,
        17.2500,  -4.566375,    0.419,
        17.3000,  -4.562106,    0.421,
        17.3500,  -4.557916,    0.423,
        17.4000,  -4.553767,    0.423,
        17.4500,  -4.549624,    0.425,
        17.5000,  -4.545477,    0.427,
        17.5500,  -4.541328,    0.430,
        17.6000,  -4.537211,    0.431,
        17.6500,  -4.533006,    0.433,
        17.7000,  -4.528844,    0.434,
        17.7500,  -4.524736,    0.436,
        17.8000,  -4.520560,    0.438,
        17.8500,  -4.516285,    0.439,
        17.9000,  -4.512066,    0.441,
        17.9500,  -4.507919,    0.443,
        18.0000,  -4.503791,    0.444,
        18.0500,  -4.499618,    0.446,
        18.1000,  -4.495475,    0.448,
        18.1500,  -4.491310,    0.450,
        18.2000,  -4.487199,    0.451,
        18.2500,  -4.483029,    0.453,
        18.3000,  -4.478841,    0.455,
        18.3500,  -4.474745,    0.457,
        18.4000,  -4.470506,    0.459,
        18.4500,  -4.466253,    0.461,
        18.5000,  -4.462086,    0.463,
        18.5500,  -4.457954,    0.465,
        18.6000,  -4.453799,    0.467,
        18.6500,  -4.449625,    0.468,
        18.7000,  -4.445453,    0.470,
        18.7500,  -4.441366,    0.472,
        18.8000,  -4.437178,    0.473,
        18.8500,  -4.433019,    0.475,
        18.9000,  -4.428841,    0.476,
        18.9500,  -4.424708,    0.478,
        19.0000,  -4.420417,    0.480,
        19.0500,  -4.416244,    0.482,
        19.1000,  -4.412070,    0.484,
        19.1500,  -4.407910,    0.486,
        19.2000,  -4.403805,    0.487,
        19.2500,  -4.399629,    0.490,
        19.3000,  -4.395481,    0.492,
        19.3500,  -4.391359,    0.494,
        19.4000,  -4.387175,    0.496,
        19.4500,  -4.383029,    0.497,
        19.5000,  -4.378866,    0.499,
        19.5500,  -4.374627,    0.502,
        19.6000,  -4.370394,    0.504,
        19.6500,  -4.366227,    0.506,
        19.7000,  -4.362091,    0.508,
        19.7500,  -4.357947,    0.510,
        19.8000,  -4.353777,    0.512,
        19.8500,  -4.349639,    0.515,
        19.9000,  -4.345482,    0.517,
        19.9500,  -4.341345,    0.520,
        20.0000,  -4.337189,    0.522,
        20.0500,  -4.333043,    0.524,
        20.1000,  -4.328806,    0.526,
        20.1500,  -4.324541,    0.528,
        20.2000,  -4.320370,    0.531,
        20.2500,  -4.316225,    0.533,
        20.3000,  -4.312091,    0.535,
        20.3500,  -4.307952,    0.537,
