time,Force,Displacement
        18.3500,  -4.474715,    0.347,
        18.4000,  -4.470512,    0.348,
        18.4500,  -4.466199,    0.350,
        18.5000,  -4.462096,    0.351,
        18.5500,  -4.457885,    0.352,
        18.6000,  -4.453764,    0.354,
        18.6500,  -4.449582,    0.355,
        18.7000,  -4.445462,    0.356,
        18.7500,  -4.441318,    0.358,
        18.8000,  -4.437160,    0.359,
        18.8500,  -4.432994,    0.361,
        18.9000,  -4.428881,    0.362,
        18.9500,  -4.424738,    0.364,
        19.0000,  -4.420390,    0.365,
        19.0500,  -4.416228,    0.367,
        19.1000,  -4.412086,    0.368,
        19.1500,  -4.407891,    0.369,
        19.2000,  -4.403776,    0.371,
        19.2500,  -4.399601,    0.372,
        19.3000,  -4.395502,    0.373,
        19.3500,  -4.391316,    0.375,
        19.4000,  -4.387178,    0.376,
        19.4500,  -4.382993,    0.377,
        19.5000,  -4.378860,    0.379,
        19.5500,  -4.374604,    0.380,
        19.6000,  -4.370366,    0.381,
        19.6500,  -4.366199,    0.383,
        19.7000,  -4.362099,    0.385,
        19.7500,  -4.357933,    0.386,
        19.8000,  -4.353748,    0.388,
        19.8500,  -4.349595,    0.389,
        19.9000,  -4.345502,    0.391,
        19.9500,  -4.341288,    0.392,
        20.0000,  -4.337194,    0.394,
        20.0500,  -4.333021,    0.395,
        20.1000,  -4.328815,    0.396,
        20.1500,  -4.324524,    0.398,
        20.2000,  -4.320398,    0.399,
        20.2500,  -4.316190,    0.401,
        20.3000,  -4.312055,    0.402,
        20.3500,  -4.307929,    0.403,
        20.4000,  -4.303762,    0.405,
        20.4500,  -4.299622,    0.407,
        20.5000,  -4.295503,    0.408,
        20.5500,  -4.291276,    0.410,
        20.6000,  -4.287198,    0.411,
        20.6500,  -4.282985,    0.413,
        20.7000,  -4.278727,    0.415,
        20.7500,  -4.274511,    0.416,
        20.8000,  -4.270373,    0.417,
        20.8500,  -4.266222,    0.419,
        20.9000,  -4.262086,    0.420,
        20.9500,  -4.257935,    0.422,
        21.0000,  -4.253767,    0.423,
        21.0500,  -4.249602,    0.425,
        21.1000,  -4.245482,    0.426,
        21.1500,  -4.241317,    0.428,
        21.2000,  -4.237173,    0.429,
        21.2500,  -4.232891,    0.431,
        21.3000,  -4.228671,    0.432,
        21.3500,  -4.224532,    0.434,
        21.4000,  -4.220339,    0.436,
        21.4500,  -4.216234,    0.437,
        21.5000,  -4.212081,    0.438,
        21.5500,  -4.207915,    0.440,
        21.6000,  -4.203754,    0.441,
        21.6500,  -4.199628,    0.443,
        21.7000,  -4.195452,    0.444,
        21.7500,  -4.191298,    0.446,
        21.8000,  -4.187115,    0.448,
        21.8500,  -4.182816,    0.449,
        21.9000,  -4.178618,    0.451,
        21.9500,  -4.174495,    0.453,
        22.0000,  -4.170372,    0.454,
        22.0500,  -4.166245,    0.456,
        22.1000,  -4.162028,    0.457,
        22.1500,  -4.157912,    0.459,
        22.2000,  -4.153794,    0.460,
        22.2500,  -4.149583,    0.462,
        22.3000,  -4.145502,    0.463,
        22.3500,  -4.141268,    0.464,
        22.4000,  -4.136992,    0.466,
        22.4500,  -4.132783,    0.468,
        22.5000,  -4.128646,    0.470,
        22.5500,  -4.124483,    0.472,
        22.6000,  -4.120387,    0.473,
        22.6500,  -4.116209,    0.474,
        22.7000,  -4.112046,    0.476,
        22.7500,  -4.107871,    0.477,
        22.8000,  -4.103764,    0.479,
        22.8500,  -4.099611,    0.480,
        22.9000,  -4.095465,    0.482,
        22.9500,  -4.091128,    0.484,
        23.0000,  -4.087007,    0.485,
        23.0500,  -4.082807,    0.486,
        23.1000,  -4.078638,    0.488,
        23.1500,  -4.074499,    0.490,
        23.2000,  -4.070351,    0.491,
        23.2500,  -4.066235,    0.493,
        23.3000,  -4.062041,    0.495,
        23.3500,  -4.057910,    0.496,
        23.4000,  -4.053722,    0.497,
        23.4500,  -4.049619,    0.499,
        23.5000,  -4.045380,    0.501,
        23.5500,  -4.041075,    0.502,
        23.6000,  -4.036961,    0.504,
        23.6500,  -4.032811,    0.505,
        23.7000,  -4.028656,    0.507,
        23.7500,  -4.024462,    0.509,
        23.8000,  -4.020383,    0.510,
        23.8500,  -4.016169,    0.512,
        23.9000,  -4.012070,    0.513,
        23.9500,  -4.007891,    0.515,
        24.0000,  -4.003745,    0.516,
        24.0500,  -3.999551,    0.518,
        24.1000,  -3.995270,    0.520,
        24.1500,  -3.991070,    0.521,
        24.2000,  -3.986935,    0.522,
        24.2500,  -3.982801,    0.524,
        24.3000,  -3.978649,    0.525,
        24.3500,  -3.974495,    0.527,
        24.4000,  -3.970330,    0.528,
        24.4500,  -3.966213,    0.530,
        24.5000,  -3.962057,    0.531,
        24.5500,  -3.957899,    0.533,
        24.6000,  -3.953694,    0.535,
        24.6500,  -3.949444,    0.536,
        24.7000,  -3.945203,    0.538,
        24.7500,  -3.941074,    0.539,
        24.8000,  -3.936990,    0.541,
        24.8500,  -3.932776,    0.542,
        24.9000,  -3.928659,    0.544,
        24.9500,  -3.924490,    0.545,
        25.0000,  -3.920327,    0.547,
        25.0500,  -3.916218,    0.549,
        25.1000,  -3.912027,    0.550,
        25.1500,  -3.907850,    0.551,
        25.2000,  -3.903714,    0.553,
        25.2500,  -3.899379,    0.554,
        25.3000,  -3.895256,    0.556,
        25.3500,  -3.891077,    0.558,
        25.4000,  -3.886942,    0.560,
        25.4500,  -3.882815,    0.561,
        25.5000,  -3.878640,    0.562,
        25.5500,  -3.874479,    0.564,
        25.6000,  -3.870364,    0.565,
        25.6500,  -3.866192,    0.566,
        25.7000,  -3.862071,    0.568,
        25.7500,  -3.857871,    0.570,
        25.8000,  -3.853572,    0.571,
        25.8500,  -3.849406,    0.572,
        25.9000,  -3.845254,    0.575,
        25.9500,  -3.841074,    0.575,
        26.0000,  -3.836926,    0.575,
        26.0500,  -3.832791,    0.577,
        26.1000,  -3.828699,    0.577,
        26.1500,  -3.824493,    0.578,
        26.2000,  -3.820346,    0.579,
        26.2500,  -3.816174,    0.580,
        26.3000,  -3.812037,    0.581,
        26.3500,  -3.807794,    0.583,
        26.4000,  -3.803513,    0.583,
        26.4500,  -3.799417,    0.585,
        26.5000,  -3.795243,    0.586,
        26.5500,  -3.791072,    0.587,
        26.6000,  -3.786989,    0.587,
        26.6500,  -3.782804,    0.589,
        26.7000,  -3.778628,    0.590,
        26.7500,  -3.774534,    0.591,
        26.8000,  -3.770348,    0.592,
        26.8500,  -3.766225,    0.593,
        26.9000,  -3.762004,    0.595,
        26.9500,  -3.757696,    0.596,
        27.0000,  -3.753544,    0.597,
        27.0500,  -3.749440,    0.598,
        27.1000,  -3.745262,    0.600,
        27.1500,  -3.741122,    0.601,
        27.2000,  -3.736939,    0.602,
        27.2500,  -3.732825,    0.604,
        27.3000,  -3.728687,    0.605,
        27.3500,  -3.724489,    0.607,
        27.4000,  -3.720362,    0.608,
        27.4500,  -3.716223,    0.610,
        27.5000,  -3.711918,    0.611,
        27.5500,  -3.707685,    0.613,
        27.6000,  -3.703542,    0.614,
        27.6500,  -3.699421,    0.615,
        27.7000,  -3.695296,    0.617,
        27.7500,  -3.691109,    0.619,
        27.8000,  -3.686938,    0.621,
        27.8500,  -3.682817,    0.622,
        27.9000,  -3.678660,    0.623,
        27.9500,  -3.674527,    0.625,
        28.0000,  -3.670383,    0.627,
        28.0500,  -3.666134,    0.628,
        28.1000,  -3.661879,    0.630,
        28.1500,  -3.657727,    0.631,
        28.2000,  -3.653554,    0.633,
        28.2500,  -3.649414,    0.634,
        28.3000,  -3.645251,    0.636,
        28.3500,  -3.641071,    0.637,
        28.4000,  -3.637001,    0.638,
        28.4500,  -3.632825,    0.640,
        28.5000,  -3.628666,    0.641,
        28.5500,  -3.624494,    0.642,
        28.6000,  -3.620306,    0.644,
        28.6500,  -3.616042,    0.646,
        28.7000,  -3.611849,    0.646,
        28.7500,  -3.607697,    0.648,
        28.8000,  -3.603544,    0.649,
        28.8500,  -3.599429,    0.650,
        28.9000,  -3.595224,    0.651,
        28.9500,  -3.591111,    0.652,
        29.0000,  -3.586951,    0.654,
        29.0500,  -3.582774,    0.655,
        29.1000,  -3.578643,    0.657,
        29.1500,  -3.574499,    0.658,
        29.2000,  -3.570275,    0.659,
        29.2500,  -3.566021,    0.661,
        29.3000,  -3.561856,    0.662,
        29.3500,  -3.557723,    0.663,
        29.4000,  -3.553563,    0.665,
        29.4500,  -3.549390,    0.667,
        29.5000,  -3.545237,    0.668,
        29.5500,  -3.541095,    0.669,
        29.6000,  -3.536976,    0.671,
        29.6500,  -3.532781,    0.673,
        29.7000,  -3.528653,    0.674,
        29.7500,  -3.524495,    0.675,
        29.8000,  -3.520161,    0.678,
        29.8500,  -3.516011,    0.680,
        29.9000,  -3.511836,    0.681,
        29.9500,  -3.507672,    0.682,
        30.0000,  -3.503549,    0.684,
        30.0500,  -3.499365,    0.686,
        30.1000,  -3.495219,    0.687,
        30.1500,  -3.491055,    0.688,
        30.2000,  -3.486950,    0.690,
        30.2500,  -3.482765,    0.692,
        30.3000,  -3.478690,    0.693,
        30.3500,  -3.474446,    0.695,
        30.4000,  -3.470118,    0.696,
        30.4500,  -3.465974,    0.697,
        30.5000,  -3.461818,    0.699,
        30.5500,  -3.457686,    0.699,
        30.6000,  -3.453530,    0.701,
        30.6500,  -3.449382,    0.703,
        30.7000,  -3.445217,    0.704,
        30.7500,  -3.441025,    0.705,
        30.8000,  -3.436922,    0.706,
        30.8500,  -3.432786,    0.707,
        30.9000,  -3.428579,    0.708,
        30.9500,  -3.424344,    0.709,
        31.0000,  -3.420091,    0.709,
        31.0500,  -3.415930,    0.708,
        31.1000,  -3.411779,    0.708,
        31.1500,  -3.407636,    0.709,
        31.2000,  -3.403494,    0.709,
        31.2500,  -3.399338,    0.708,
        31.3000,  -3.395181,    0.708,
        31.3500,  -3.391042,    0.708,
        31.4000,  -3.386876,    0.708,
        31.4500,  -3.382747,    0.708,
        31.5000,  -3.378516,    0.706,
        31.5500,  -3.374267,    0.705,
        31.6000,  -3.370053,    0.704,
        31.6500,  -3.365924,    0.703,
        31.7000,  -3.361757,    0.703,
        31.7500,  -3.357637,    0.703,
        31.8000,  -3.353496,    0.704,
        31.8500,  -3.349295,    0.705,
        31.9000,  -3.345203,    0.705,
        31.9500,  -3.341036,    0.706,
        32.0000,  -3.336879,    0.707,
        32.0500,  -3.332736,    0.708,
        32.1000,  -3.328567,    0.709,
        32.1500,  -3.324265,    0.710,
        32.2000,  -3.320090,    0.711,
        32.2500,  -3.315924,    0.712,
        32.3000,  -3.311789,    0.713,
        32.3500,  -3.307603,    0.714,
        32.4000,  -3.303489,    0.714,
        32.4500,  -3.299317,    0.715,
        32.5000,  -3.295206,    0.716,
        32.5500,  -3.291049,    0.717,
        32.6000,  -3.286887,    0.718,
        32.6500,  -3.282723,    0.720,
        32.7000,  -3.278567,    0.721,
        32.7500,  -3.274228,    0.722,
        32.8000,  -3.270090,    0.723,
        32.8500,  -3.265918,    0.724,
        32.9000,  -3.261746,    0.723,
        32.9500,  -3.257651,    0.724,
        33.0000,  -3.253461,    0.724,
        33.0500,  -3.249324,    0.725,
        33.1000,  -3.245153,    0.726,
        33.1500,  -3.241069,    0.728,
        33.2000,  -3.236903,    0.728,
        33.2500,  -3.232721,    0.730,
        33.3000,  -3.228504,    0.731,
        33.3500,  -3.224228,    0.732,
        33.4000,  -3.220139,    0.733,
        33.4500,  -3.215946,    0.734,
        33.5000,  -3.211784,    0.736,
        33.5500,  -3.207643,    0.736,
        33.6000,  -3.203475,    0.738,
        33.6500,  -3.199351,    0.741,
        33.7000,  -3.195190,    0.742,
        33.7500,  -3.191060,    0.743,
        33.8000,  -3.186875,    0.744,
        33.8500,  -3.182714,    0.745,
        33.9000,  -3.178482,    0.746,
        33.9500,  -3.174215,    0.748,
        34.0000,  -3.170100,    0.749,
        34.0500,  -3.165973,    0.750,
        34.1000,  -3.161777,    0.751,
        34.1500,  -3.157656,    0.753,
        34.2000,  -3.153487,    0.754,
        34.2500,  -3.149274,    0.755,
        34.3000,  -3.145207,    0.756,
        34.3500,  -3.141035,    0.757,
        34.4000,  -3.136870,    0.757,
        34.4500,  -3.132688,    0.757,
        34.5000,  -3.128438,    0.756,
        34.5500,  -3.124204,    0.756,
        34.6000,  -3.120057,    0.757,
        34.6500,  -3.115958,    0.757,
        34.7000,  -3.111775,    0.757,
        34.7500,  -3.107633,    0.758,
        34.8000,  -3.103426,    0.759,
        34.8500,  -3.099312,    0.758,
        34.9000,  -3.095151,    0.758,
        34.9500,  -3.091003,    0.758,
        35.0000,  -3.086854,    0.757,
        35.0500,  -3.082710,    0.758,
        35.1000,  -3.078491,    0.758,
        35.1500,  -3.074222,    0.759,
        35.2000,  -3.070066,    0.759,
        35.2500,  -3.065882,    0.760,
        35.3000,  -3.061771,    0.761,
        35.3500,  -3.057620,    0.762,
        35.4000,  -3.053471,    0.763,
        35.4500,  -3.049342,    0.764,
        35.5000,  -3.045182,    0.764,
        35.5500,  -3.041025,    0.766,
        35.6000,  -3.036833,    0.766,
        35.6500,  -3.032713,    0.767,
        35.7000,  -3.028513,    0.768,
        35.7500,  -3.024157,    0.767,
        35.8000,  -3.020076,    0.767,
        35.8500,  -3.015898,    0.767,
        35.9000,  -3.011745,    0.768,
        35.9500,  -3.007613,    0.767,
        36.0000,  -3.003436,    0.767,
        36.0500,  -2.999309,    0.767,
        36.1000,  -2.995152,    0.766,
        36.1500,  -2.990947,    0.765,
        36.2000,  -2.986840,    0.764,
        36.2500,  -2.982727,    0.764,
        36.3000,  -2.978457,    0.765,
        36.3500,  -2.974188,    0.765,
        36.4000,  -2.970028,    0.766,
        36.4500,  -2.965890,    0.766,
        36.5000,  -2.961746,    0.766,
        36.5500,  -2.957584,    0.766,
